DATE,SHOPPER_ID,SHOPPER_BASKET,STORE_ID,ZIP_CODE,MANU_ID,BRAND_ID,SUB_BRAND_ID,PRODUCT,SPECIES,FOOD_TYPE,BASE_PRICE,PRICE,PROMO_FLAG,UNITS,PRICE_TIER,PACKAGE_SIZE,FEEDING_PHILOSOPHY,NATURAL_CLAIM,TEXTURE_FORMAT,LIFESTAGE
2021-07-10,2857040,2857040A_13010974,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.65,0.59,1,3,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-07-24,2857040,2857040A_46555402,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.64,0.64,0,3,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-08-14,2857040,2857040A_41378305,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.64,0.48,1,4,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-08-21,2857040,2857040A_13336576,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.64,0.64,0,3,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-08-28,2857040,2857040A_40620403,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.65,0.65,0,4,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-08-28,2857040,2857040A_40620403,84,16673,NUTRIWISE INC,NIBBLES,NIBBLES GF,2670025476,DOG,DRY,19.92,19.92,0,1,PREMIUM,10 - 13.9 LBS,DRY DOG CULINRY RCPS,NATURAL,KIBBLE,ADULT
2021-09-11,2857040,2857040A_24075778,84,16673,EPICUREAN,KITTY FOOD,KITTY FOOD PLUS,11865079931,CAT,DRY,10.93,8.2,1,1,VALUE,13.0 - 16.9 LBS,DRY CAT B&B,NON NATURAL,KIBBLE,ADULT
2021-09-11,2857040,2857040A_24075778,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.65,0.65,0,4,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
2021-09-24,2857040,2857040A_38689107,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX INDOOR,7500086100,CAT,WET,0.64,0.64,0,2,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ADULT
2021-10-09,2857040,2857040A_45721983,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX TASTY,7500086694,CAT,WET,0.64,0.64,0,3,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,CIG,ADULT
2021-10-09,2857040,2857040A_45721983,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX INDOOR,7500086100,CAT,WET,0.64,0.64,0,1,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ADULT
2021-10-13,2857040,2857040A_39960959,84,16673,EPICUREAN,KITTY FOOD,KITTY FOOD PLUS,11865079931,CAT,DRY,9.99,5,1,1,VALUE,13.0 - 16.9 LBS,DRY CAT B&B,NON NATURAL,KIBBLE,ADULT
2021-10-13,2857040,2857040A_39960959,84,16673,NUTRIWISE INC,LICKMIX,LICKMIX PATE,7500063546,CAT,WET,0.64,0.64,0,4,MAINSTREAM,MULTI SRV 101.0-184.9G,WET CAT B&B,NON NATURAL,LOAF/PATE,ALL LIFE STAGES
